id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
22789712,Capitol Robinson by Bower Hotels & Suites,4000300,Thierry,Westmorland,Moncton,46.08828,-64.77865,Hotel room,179,1,0,,,28,356
22790318,Capitol Robinson by Bower Hotels & Suites,4000300,Thierry,Westmorland,Moncton,46.08983,-64.78051,Hotel room,179,1,0,,,28,341
22790379,Capitol Robinson by Bower Hotels & Suites,4000300,Thierry,Westmorland,Moncton,46.09022,-64.78016,Hotel room,179,1,2,2019-08-06,0.15,28,353
22790467,Capitol Robinson by Bower Hotels & Suites,4000300,Thierry,Westmorland,Moncton,46.08853,-64.77915,Hotel room,179,1,3,2019-06-18,0.22,28,349
22790522,Capitol Robinson by Bower Hotels & Suites,4000300,Thierry,Westmorland,Moncton,46.08981,-64.78087,Hotel room,179,1,2,2019-05-18,0.15,28,350
22790584,Capitol Robinson by Bower Hotels & Suites,4000300,Thierry,Westmorland,Moncton,46.08795,-64.78049,Hotel room,179,1,5,2019-08-30,0.32,28,357
22790923,Lester Lofts by Bower Hotels & Suites,4000300,Thierry,Westmorland,Moncton,46.09019,-64.7728,Hotel room,179,1,1,2019-08-29,1,28,338
22791168,Lester Lofts by Bower Hotels & Suites,4000300,Thierry,Westmorland,Moncton,46.0894,-64.77355,Hotel room,179,1,3,2019-08-18,1.22,28,352
22795168,Cozy cottage on the Bay of Fundy,47141908,Susan,Charlotte,Saint George,45.05644,-66.85896,Entire home/apt,149,4,24,2019-09-14,1.59,2,365
22825559,Château Queen by Bower Hotels & Suites,4000300,Thierry,Westmorland,Moncton,46.0882,-64.78071,Hotel room,179,1,2,2019-06-15,0.39,28,351
22825654,Château Queen by Bower Hotels & Suites,4000300,Thierry,Westmorland,Moncton,46.08882,-64.78074,Hotel room,179,1,2,2019-08-01,0.43,28,353
22825715,Château Queen by Bower Hotels & Suites,4000300,Thierry,Westmorland,Moncton,46.08877,-64.78126,Hotel room,179,1,2,2019-03-24,0.22,28,353
22825763,Château Queen by Bower Hotels & Suites,4000300,Thierry,Westmorland,Moncton,46.08945,-64.78078,Hotel room,179,1,2,2019-01-01,0.20,28,262
22829906,Beach House Cap Lumiere,168761043,Marc,Kent,Richibucto,46.6715,-64.71161,Entire home/apt,150,5,4,2019-08-31,0.26,1,25
22860618,BeeNBee,62999481,Valerie,Carleton,Woodstock,46.13312,-67.62767,Entire home/apt,65,1,132,2019-09-23,6.73,1,23
22860945,Luxury room. Close 2 UNB Queen St. Walking trails,121322838,Positive ❤️Heart Living.P,York,Fredericton,45.94736,-66.63325,Private room,50,1,96,2019-09-15,4.89,6,56
22882688,Lavender Manor. Minutes from Beach!,77333178,Carly,Kent,Wellington,46.54856,-64.71837,Entire home/apt,175,2,25,2019-09-18,1.36,1,291
22900401,The Ledges- Queen Room,101237601,Ledges,Northumberland,Blissfield,46.54785,-66.15525,Hotel room,150,3,0,,,3,365
22934372,The Ledges- Two Queen Beds,101237601,Ledges,Northumberland,Blissfield,46.54795,-66.15649,Hotel room,150,3,0,,,3,365
22936162,Safari Yurt at the Belleisle Bayview Retreat,37719862,Andrew,Kings,Springfield,45.60883,-65.8936,Entire home/apt,149,1,67,2019-09-23,4.36,3,172
22937319,"DT 5-10 min, shows, shops, comfort for your family",18998356,Sebastien,Westmorland,Moncton,46.09603,-64.79347,Entire home/apt,85,1,58,2019-09-09,3.14,2,332
22944776,Bright & comfortable DOWNTOWN 2 bed & 2 bath,89340338,Stefanie,York,Fredericton,45.96495,-66.64939,Entire home/apt,139,2,156,2019-09-22,7.83,1,278
22959044,Sunny house in Sunnybrae,170104998,Amy,Westmorland,Moncton,46.10282,-64.77661,Private room,32,1,13,2019-08-01,0.65,1,75
22976904,Three Oaks Cottage,117565865,Cathy,Kings,Westfield,45.38163,-66.21474,Entire home/apt,99,2,16,2019-07-26,1.03,1,97
22978104,Beautiful Waterfront Home on the Acadian Shore,170344547,Liette,Gloucester,Beresford,47.71916,-65.70451,Entire home/apt,170,3,13,2019-08-25,0.70,1,226
23005955,Country home,157194218,Genevieve,Saint John,City of Saint John,45.3238,-65.91674,Entire home/apt,125,1,61,2019-08-28,3.25,1,53
23013765,"The ""Overlook"" at the Belleisle Bayview Retreat",37719862,Andrew,Kings,Springfield,45.60838,-65.89219,Entire home/apt,149,1,18,2019-09-07,1.17,3,359
23023998,Bonaccord Abode - newly renovated 2 bedroom + den,144771356,Jim And Kathy,Westmorland,Moncton,46.09501,-64.7845,Entire home/apt,115,1,138,2019-09-22,6.89,3,347
23038711,Séjour Kouchibouguac Resort by Elevate Rooms,170964497,Guy Alexandre,Kent,Saint-Louis,46.7644,-65.01538,Entire home/apt,180,1,4,2019-08-19,0.29,17,364
23039177,Séjour Kouchibouguac Resort by Elevate Rooms - Condo-Chalet,170964497,Guy Alexandre,Kent,Saint-Louis,46.75224,-64.99449,Entire home/apt,99,1,10,2019-08-06,0.70,17,340
23041547,The Richard's,170992840,Zelande,Westmorland,Moncton,46.08189,-64.73498,Entire home/apt,70,1,93,2019-09-25,4.96,1,341
23062583,HOTTUB/CABANA/LOUNGING FURNITURE STEPS FROM PARLEE,171199467,Steve,Westmorland,Shediac,46.23658,-64.51699,Entire home/apt,184,2,8,2019-09-22,0.53,1,205
23062701,"Enjoy and Relax. Bedroom, bathroom & living room.",20203994,Claudia,Kings,Rothesay,45.42822,-65.97056,Private room,52,1,18,2019-06-26,1.05,1,1
23102860,Chalet au bord de la mer/Cottage by the sea,143402784,Yvon,Gloucester,New Bandon,47.83536,-64.98931,Entire home/apt,199,7,5,2019-08-17,0.35,1,173
23104844,Beachfront Oceanview Rental,171633000,Kristen,Gloucester,Bathurst,47.65946,-65.62616,Entire home/apt,298,5,15,2019-08-24,0.98,1,39
23108084,❤Downtown Steps to Conference Center Parking Quiet,25912127,Tonë And Peter,York,Fredericton,45.95579,-66.63514,Entire home/apt,95,2,87,2019-09-19,4.53,2,160
23122283,Catch The Wind Two B & B,17938931,Diana & Art,Albert,Hopewell,45.7706,-64.65597,Private room,99,1,65,2019-09-19,4.21,2,134
23143121,Loft Suite at Crabbe Mountain Inn,71377174,John,York,Queensbury,46.09854,-67.12673,Entire home/apt,200,1,6,2019-09-02,0.31,11,350
23181815,Come and Enjoy this Impressive 3 Bedroom Home.,156623404,E Tom,Westmorland,Moncton,46.10743,-64.82209,Entire home/apt,160,1,21,2019-09-18,1.27,5,238
23182871,Premium Downstairs 2 Bedroom Suites .. Mapleton Rd,156623404,E Tom,Westmorland,Moncton,46.10943,-64.82156,Entire home/apt,129,1,15,2019-05-25,0.84,5,252
23223922,Beach House at Parlee Beach,171507987,Kelly,Westmorland,Shediac,46.23653,-64.51755,Entire home/apt,249,2,10,2019-09-23,4.35,1,365
23227789,Captain Peach- Beach Cottage,172805503,Lise,Kent,Richibucto,46.67657,-64.84511,Entire home/apt,141,7,3,2019-09-09,0.20,1,169
23230843,"Joan""E"" s place - Ocean front with Private beach!",89927860,Bernard,Charlotte,Lepreau,45.1269,-66.57508,Entire home/apt,199,3,25,2019-09-01,1.68,2,350
23237217,Guestroom#2  of Downtown Bed &  Breakfast,172915939,Aaron,Westmorland,Moncton,46.09132,-64.77729,Entire home/apt,110,1,6,2019-08-28,0.37,4,180
23237408,Guestroom #1 of Downtown Bed & Breakfast.,172915939,Aaron,Westmorland,Moncton,46.09049,-64.77685,Private room,110,1,9,2019-08-12,0.47,4,363
23247278,Seaside Cottage - Near Parlee Beach & Shediac,83089813,Pierre,Westmorland,Shediac,46.2362,-64.46085,Entire home/apt,143,2,25,2019-09-15,1.63,1,361
23286840,The Richibucto River Cabana,150429124,Connie,Kent,Richibucto,46.61514,-64.92383,Entire home/apt,99,1,39,2019-09-07,2.35,7,0
23289543,Blue Cottage,57455336,Cara,York,Southhampton,46.13088,-67.1952,Entire home/apt,37,1,245,2019-09-17,12.76,1,120
23291205,Cozy room in sweet house,111980191,Duncan,Westmorland,Moncton,46.11434,-64.86565,Private room,54,1,60,2019-09-19,3.06,2,18
23302323,Nostalgias Nook,173497906,Cameron,Saint John,Saint Martins,45.33785,-65.55344,Private room,60,1,39,2019-09-01,2.68,2,288
23340902,Ray's uptown medium size bedroom,172738856,Raymond,Saint John,City of Saint John,45.26943,-66.0578,Private room,31,2,16,2019-06-01,0.82,1,2
23343326,Spacious Suite,145237084,Nada,Gloucester,Caraquet,47.78488,-64.9709,Private room,68,1,49,2019-09-16,3.03,1,175
23358958,"Chalet, Oceanfront with Access to the beach",174069305,Veronique,Gloucester,Shippagan,47.81082,-64.69708,Entire home/apt,99,7,2,2019-07-20,0.13,1,235
23389080,Kissing Bridge Cottage,56824230,Taya,Kings,Hampton,45.48027,-65.89858,Entire home/apt,141,2,56,2019-09-22,3.21,1,62
23399938,Crawford's Roost on the Tobique River Headpond,118685796,Tami,Victoria,Perth,46.77929,-67.6247,Entire home/apt,160,4,8,2019-09-23,0.49,1,286
23411554,"Chalet sur le bord de l'eau à louer Val-Comeau, NB",172183897,Joanie,Gloucester,Saumarez,47.46901,-64.87656,Entire home/apt,125,6,0,,,1,328
23412037,Aboiteau Chalet,157757038,Michael,Westmorland,Shediac,46.22844,-64.31778,Entire home/apt,206,7,3,2019-08-11,1.30,1,365
23427917,ASSOMPTION - One bedroom suite,174728468,Claudine,Westmorland,Moncton,46.08805,-64.77137,Entire home/apt,164,1,3,2019-07-21,0.18,1,180
23447097,Beautiful renovated guest suite close to downtown.,30987890,Marie,Albert,Coverdale,46.06287,-64.78964,Entire home/apt,89,2,150,2019-09-24,8.15,1,231
23448902,Norwood on the Washademoak B & B,49423729,Ines,Queens,Cambridge,45.74172,-66.02608,Private room,92,1,10,2019-09-15,0.61,2,128
23466272,Little Oasis,172819613,Rose Marie,Westmorland,Shediac,46.23434,-64.50568,Entire home/apt,184,7,1,2019-07-28,0.48,1,365
23482895,Marie's water getaway,175306982,Maarit,Restigouche,Colborne,48.00041,-66.32297,Entire home/apt,200,3,27,2019-09-09,1.75,1,185
23485806,Cedar Lane Cottage - Saint Andrews by-the-sea,175344957,Kevin,Charlotte,Saint Andrews,45.08336,-67.06933,Entire home/apt,500,5,1,2018-04-15,0.06,1,263
23494029,Au panier de fruits,171101061,Jacques Et Sylvie,Westmorland,Moncton,46.12201,-64.83527,Entire home/apt,80,2,82,2019-09-22,4.40,1,326
23523108,"Family-style home, on beautiful Grand Manan Island",157202620,Fredonna,Charlotte,Grand Manan,44.76712,-66.76088,Entire home/apt,150,4,9,2019-08-18,0.63,1,126
23528035,Hotel style room with private Bathroom!,112764234,Rich,York,New Maryland,45.89997,-66.68888,Private room,53,1,186,2019-09-08,9.84,5,339
23556254,Homeport Historic B&B,176015439,Wei,Saint John,City of Saint John,45.27294,-66.07842,Private room,129,1,12,2019-09-24,0.78,1,267
23592493,Peaceful Waterfront cottage apartement. (1 Bd ),176389284,Norman,Gloucester,Beresford,47.78081,-65.71445,Entire home/apt,98,6,4,2019-08-25,0.29,2,204
23593608,Waterfront cottage for a peaceful vacation (2 BR.),176389284,Norman,Gloucester,Beresford,47.78158,-65.71493,Entire home/apt,135,6,3,2019-08-03,1.14,2,352
23602526,Cozy Chalet at Poley Mountain/Fundy Experience,132564582,Jamie,Kings,Waterford,45.68328,-65.38563,Entire home/apt,249,1,93,2019-08-30,5.63,1,176
23646171,Cozy Seaside Cottage,6362879,Julie,Westmorland,Botsford,46.23461,-64.2698,Entire home/apt,179,7,2,2019-08-25,0.15,1,3
23650011,Darlene's Country Cottage,177037493,Darlene,Northumberland,Blackville,46.76845,-65.77488,Entire home/apt,95,1,32,2019-09-14,2.11,1,134
23670752,Guestroom #3 of Moncton Downtown Bed&Breakfast,172915939,Aaron,Westmorland,Moncton,46.0923,-64.7775,Private room,110,1,3,2019-07-28,0.21,4,365
23671050,Guestroom #4 of Downtown Bed & Breakfast,172915939,Aaron,Westmorland,Moncton,46.09097,-64.77832,Private room,110,1,1,2018-08-10,0.07,4,365
23679444,Peaceful getaway near Kouchibouguac National Park,177330573,Annette,Kent,Saint-Louis,46.73543,-64.97286,Entire home/apt,90,4,7,2019-08-29,0.49,1,365
23683447,Private room in quiet neighbourhood!,150754994,Serge,Westmorland,Moncton,46.14642,-64.79186,Private room,45,1,53,2019-08-10,2.86,2,278
23691164,Calming Cottage,177462318,Maria,Victoria,Lorne,47.01962,-67.29095,Entire home/apt,95,2,7,2019-07-28,0.49,1,87
23693346,The Blue House,177480240,Kevin & Becky,Northumberland,Blissfield,46.54897,-66.14474,Entire home/apt,110,2,8,2019-08-25,2.47,1,177
23728790,Economy Suite,114532687,Unilau,Westmorland,Moncton,46.09647,-64.78393,Entire home/apt,65,2,16,2019-08-31,0.97,4,107
23731490,The Lobster Den -Alma Shore Lane Suites & Cottages,115905672,Chelsea,Albert,Alma,45.60194,-64.94155,Private room,135,1,22,2019-09-25,1.45,5,84
23742035,⭐️The LOFT on GEORGE⭐️ Downtown | Patio | Bikes |BBQ,178029294,Traci,York,Fredericton,45.95633,-66.63976,Entire home/apt,88,1,140,2019-09-26,8.50,3,155
23751927,Cabin on The beautiful Miramichi River,178135108,Steven,Northumberland,Chatham,47.0729,-65.3643,Entire home/apt,76,1,36,2019-09-18,2.24,2,0
23771724,Alvin's Bayview 1 bdrm apt in old Saint John,99381199,Alvin,Saint John,City of Saint John,45.28655,-66.05551,Entire home/apt,74,1,214,2019-09-12,11.44,8,322
23782205,"Beautiful Lakefront Cottage on Lake Utopia, #2",128611937,Sherry,Charlotte,Saint George,45.15225,-66.81527,Entire home/apt,195,1,21,2019-09-02,1.40,2,295
23783491,Oceanfront Cottage 15 min to Shediac,2597678,Taylor,Kent,Dundas,46.34919,-64.56819,Entire home/apt,200,7,9,2019-09-03,0.64,1,363
23808752,"""The Mooring""- Full Beach House with Views",178676446,Chris,Westmorland,Shediac,46.23901,-64.51453,Entire home/apt,200,7,9,2019-09-10,0.61,1,76
23820106,Home away from home,36662648,Jeanne,Westmorland,Shediac,46.22519,-64.52822,Private room,110,2,5,2019-08-24,0.35,3,179
23820535,"The Awakening / L Éveil

(Book your 2019 vacation)",52569555,Mathieu Leclair,Northumberland,Alnwick,47.25566,-65.06018,Private room,119,2,0,,,2,357
23862389,"Single room 3/4 Bed (size 6'2""...1.87 m) 2nd floor",4045273,"Tess , Sylvain",Gloucester,Shippagan,47.80633,-64.57083,Private room,40,1,2,2018-08-08,0.14,7,103
23903832,A little piece of heaven !,122299999,Lori,York,Southhampton,45.96456,-67.32256,Private room,80,1,0,,,1,178
23913907,Silver Sands Beach - Spring/Summer Dates Available,103308471,Martin,Westmorland,Botsford,46.20681,-64.18742,Entire home/apt,350,2,10,2019-07-13,0.54,2,134
23946256,Seaside chalet,43937780,Denis,Westmorland,Shediac,46.22702,-64.31283,Entire home/apt,200,2,31,2019-09-15,2.05,1,0
23975028,Cozy waterfront log cottage on island.,118574749,Crissy,Kings,Westfield,45.33457,-66.13775,Entire home/apt,150,2,9,2019-09-15,3.21,1,24
23991473,Waterfront private suite,180498625,William,Kings,Westfield,45.43051,-66.18104,Private room,76,2,12,2018-08-22,0.76,1,145
23993651,Comfy Basement Apartment Near DT Moncton,167573786,Cody,Westmorland,Moncton,46.07615,-64.80473,Entire home/apt,52,1,99,2019-09-15,5.43,1,234
23997379,Heaven's Corner 2.0,180563871,Betty,Kent,Richibucto,46.68246,-64.786,Entire home/apt,143,7,8,2019-08-29,0.55,1,2
24019728,The PEAK Sunset B&B - Bishop Room,98026751,Mary,Carleton,Northampton,46.17149,-67.56199,Hotel room,119,1,0,,,3,363
