neighbourhood,province,room_type,minimum_nights,accommodates,bedrooms,price
Juan de Fuca,British Columbia,Entire home/apt,2,2,1,65.0
Harris Green,British Columbia,Entire home/apt,2,4,2,149.0
Downtown,British Columbia,Entire home/apt,3,4,2,325.0
James Bay,British Columbia,Entire home/apt,7,4,2,90.0
Sooke,British Columbia,Entire home/apt,1,5,2,93.0
Saanich,British Columbia,Entire home/apt,2,4,1,119.0
Colwood,British Columbia,Entire home/apt,1,4,1,48.0
Saanich,British Columbia,Private room,1,2,1,54.0
Saanich,British Columbia,Entire home/apt,2,2,1,85.0
Central Saanich,British Columbia,Entire home/apt,3,4,1,190.0
Downtown,British Columbia,Entire home/apt,1,4,1,89.0
James Bay,British Columbia,Entire home/apt,2,2,1,99.0
Esquimalt,British Columbia,Entire home/apt,30,3,2,76.0
Saanich,British Columbia,Entire home/apt,1,2,1,76.0
Saanich,British Columbia,Entire home/apt,14,6,3,99.0
Langford,British Columbia,Entire home/apt,1,4,1,80.0
Downtown,British Columbia,Entire home/apt,3,2,2,200.0
Southern Gulf Islands,British Columbia,Entire home/apt,5,8,3,290.0
Sooke,British Columbia,Entire home/apt,2,5,1,150.0
Juan de Fuca,British Columbia,Entire home/apt,2,8,3,300.0
Saanich,British Columbia,Entire home/apt,2,3,1,76.0
North Saanich,British Columbia,Private room,1,2,1,54.0
Oak Bay,British Columbia,Entire home/apt,4,7,4,700.0
Colwood,British Columbia,Entire home/apt,5,2,1,99.0
Colwood,British Columbia,Entire home/apt,4,4,1,150.0
Esquimalt,British Columbia,Entire home/apt,28,4,1,150.0
Fairfield,British Columbia,Entire home/apt,2,6,3,218.0
Harris Green,British Columbia,Entire home/apt,1,5,2,150.0
Fernwood,British Columbia,Entire home/apt,7,6,4,145.0
Burnside,British Columbia,Entire home/apt,1,4,2,149.0
Salt Spring Island,British Columbia,Entire home/apt,3,6,2,325.0
Downtown,British Columbia,Entire home/apt,1,4,1,125.0
Sooke,British Columbia,Entire home/apt,1,2,1,80.0
Salt Spring Island,British Columbia,Entire home/apt,3,4,2,249.0
Downtown,British Columbia,Entire home/apt,1,4,1,94.0
Fernwood,British Columbia,Entire home/apt,2,6,3,175.0
Juan de Fuca,British Columbia,Entire home/apt,1,2,1,95.0
Central Saanich,British Columbia,Entire home/apt,3,6,3,300.0
Downtown,British Columbia,Entire home/apt,1,2,1,145.0
Sooke,British Columbia,Entire home/apt,3,8,3,135.0
Oak Bay,British Columbia,Private room,3,1,1,60.0
Saanich,British Columbia,Entire home/apt,4,4,1,175.0
Saanich,British Columbia,Entire home/apt,4,8,4,401.0
Oaklands,British Columbia,Private room,1,2,1,65.0
Juan de Fuca,British Columbia,Entire home/apt,3,6,3,300.0
Oak Bay,British Columbia,Entire home/apt,3,4,2,164.0
Oaklands,British Columbia,Entire home/apt,28,6,2,255.0
Sidney,British Columbia,Entire home/apt,3,4,1,129.0
North Saanich,British Columbia,Entire home/apt,3,7,3,300.0
Langford,British Columbia,Entire home/apt,3,5,3,99.0
View Royal,British Columbia,Entire home/apt,2,6,2,125.0
Salt Spring Island,British Columbia,Private room,2,2,1,110.0
Esquimalt,British Columbia,Entire home/apt,30,2,1,65.0
Metchosin,British Columbia,Entire home/apt,7,2,1,99.0
Downtown,British Columbia,Entire home/apt,2,3,1,90.0
Juan de Fuca,British Columbia,Entire home/apt,2,6,2,375.0
Hillside/Quadra,British Columbia,Entire home/apt,3,5,2,150.0
Esquimalt,British Columbia,Entire home/apt,1,2,1,54.0
Langford,British Columbia,Entire home/apt,2,4,2,119.0
Esquimalt,British Columbia,Entire home/apt,2,6,3,125.0
Downtown,British Columbia,Entire home/apt,2,4,2,210.0
Oaklands,British Columbia,Entire home/apt,2,5,2,179.0
Saanich,British Columbia,Private room,1,2,1,54.0
Southern Gulf Islands,British Columbia,Entire home/apt,3,4,2,150.0
North Saanich,British Columbia,Entire home/apt,3,7,3,500.0
James Bay,British Columbia,Private room,1,2,1,89.0
Salt Spring Island,British Columbia,Entire home/apt,1,6,3,182.0
Langford,British Columbia,Entire home/apt,2,4,1,125.0
Langford,British Columbia,Private room,1,2,1,54.0
Juan de Fuca,British Columbia,Entire home/apt,7,6,3,398.0
Saanich,British Columbia,Entire home/apt,4,4,2,150.0
Fairfield,British Columbia,Entire home/apt,45,4,1,97.0
Salt Spring Island,British Columbia,Entire home/apt,2,2,1,90.0
Fernwood,British Columbia,Entire home/apt,3,4,2,125.0
Sooke,British Columbia,Entire home/apt,2,8,3,249.0
Southern Gulf Islands,British Columbia,Entire home/apt,5,2,1,175.0
Saanich,British Columbia,Entire home/apt,1,4,2,249.0
North Saanich,British Columbia,Entire home/apt,1,2,1,69.0
Sooke,British Columbia,Entire home/apt,7,6,3,195.0
Juan de Fuca,British Columbia,Entire home/apt,2,4,2,249.0
Saanich,British Columbia,Private room,2,1,1,34.0
Sooke,British Columbia,Entire home/apt,7,6,3,195.0
Southern Gulf Islands,British Columbia,Entire home/apt,3,6,4,350.0
Southern Gulf Islands,British Columbia,Entire home/apt,30,6,3,160.0
Esquimalt,British Columbia,Entire home/apt,2,4,1,99.0
Oaklands,British Columbia,Private room,2,2,1,115.0
Downtown,British Columbia,Entire home/apt,1,2,1,99.0
Saanich,British Columbia,Entire home/apt,5,2,1,88.0
Langford,British Columbia,Private room,30,2,1,74.0
Saanich,British Columbia,Entire home/apt,30,4,2,110.0
South Jubilee,British Columbia,Entire home/apt,30,3,2,66.0
Juan de Fuca,British Columbia,Entire home/apt,2,4,2,195.0
Oak Bay,British Columbia,Entire home/apt,30,7,3,225.0
Juan de Fuca,British Columbia,Entire home/apt,1,8,3,300.0
Fernwood,British Columbia,Private room,30,1,1,34.0
Juan de Fuca,British Columbia,Entire home/apt,2,5,2,300.0
Victoria West,British Columbia,Entire home/apt,30,2,1,113.0
Burnside,British Columbia,Entire home/apt,1,4,1,95.0
Victoria West,British Columbia,Entire home/apt,30,2,1,113.0
Salt Spring Island,British Columbia,Entire home/apt,3,8,3,125.0
Downtown,British Columbia,Entire home/apt,1,4,1,111.0
Downtown,British Columbia,Entire home/apt,1,4,1,111.0
Hillside/Quadra,British Columbia,Entire home/apt,2,2,1,80.0
Saanich,British Columbia,Private room,1,2,1,76.0
Saanich,British Columbia,Private room,1,6,3,160.0
Salt Spring Island,British Columbia,Private room,2,4,2,245.0
Salt Spring Island,British Columbia,Entire home/apt,3,6,2,325.0
Salt Spring Island,British Columbia,Entire home/apt,3,6,2,325.0
Sidney,British Columbia,Entire home/apt,2,6,2,349.0
Colwood,British Columbia,Entire home/apt,2,2,1,95.0
Southern Gulf Islands,British Columbia,Entire home/apt,3,3,1,150.0
Central Saanich,British Columbia,Entire home/apt,2,8,3,249.0
Downtown,British Columbia,Entire home/apt,1,4,1,200.0
Harris Green,British Columbia,Entire home/apt,3,4,2,200.0
Saanich,British Columbia,Entire home/apt,2,2,1,105.0
Fernwood,British Columbia,Entire home/apt,10,6,2,99.0
Southern Gulf Islands,British Columbia,Entire home/apt,3,6,2,105.0
Southern Gulf Islands,British Columbia,Entire home/apt,1,6,2,93.0
Downtown,British Columbia,Entire home/apt,30,4,1,180.0
Juan de Fuca,British Columbia,Entire home/apt,2,2,1,99.0
Salt Spring Island,British Columbia,Entire home/apt,2,4,2,249.0
View Royal,British Columbia,Entire home/apt,2,2,1,60.0
Central Saanich,British Columbia,Private room,1,2,1,127.0
Sooke,British Columbia,Private room,1,2,1,50.0
Langford,British Columbia,Entire home/apt,30,6,3,149.0
Saanich,British Columbia,Entire home/apt,3,6,2,249.0
Southern Gulf Islands,British Columbia,Entire home/apt,2,6,2,70.0
Salt Spring Island,British Columbia,Private room,2,4,2,206.0
Oak Bay,British Columbia,Entire home/apt,1,6,2,119.0
Oak Bay,British Columbia,Entire home/apt,1,4,2,150.0
Downtown,British Columbia,Entire home/apt,1,2,1,129.0
Downtown,British Columbia,Entire home/apt,3,4,1,149.0
Downtown,British Columbia,Entire home/apt,3,4,1,139.0
Downtown,British Columbia,Entire home/apt,3,4,1,168.0
Sidney,British Columbia,Entire home/apt,2,4,1,95.0
Juan de Fuca,British Columbia,Entire home/apt,2,6,2,294.0
Southern Gulf Islands,British Columbia,Entire home/apt,2,6,2,110.0
Central Saanich,British Columbia,Private room,1,2,1,138.0
North Saanich,British Columbia,Entire home/apt,5,6,3,294.0
Saanich,British Columbia,Entire home/apt,3,3,1,200.0
Fairfield,British Columbia,Entire home/apt,3,5,2,200.0
James Bay,British Columbia,Entire home/apt,30,6,3,200.0
Highlands,British Columbia,Entire home/apt,2,2,1,89.0
Juan de Fuca,British Columbia,Entire home/apt,2,8,3,375.0
Downtown,British Columbia,Entire home/apt,2,4,1,119.0
Langford,British Columbia,Entire home/apt,2,4,2,249.0
James Bay,British Columbia,Hotel room,1,2,1,76.0
James Bay,British Columbia,Hotel room,1,2,1,76.0
View Royal,British Columbia,Entire home/apt,30,6,3,249.0
Fairfield,British Columbia,Entire home/apt,3,6,3,210.0
Esquimalt,British Columbia,Entire home/apt,20,2,1,72.0
Southern Gulf Islands,British Columbia,Entire home/apt,2,4,1,249.0
Sooke,British Columbia,Private room,2,2,1,119.0
Saanich,British Columbia,Entire home/apt,2,4,1,90.0
James Bay,British Columbia,Hotel room,1,6,3,475.0
Saanich,British Columbia,Entire home/apt,2,5,2,99.0
Downtown,British Columbia,Entire home/apt,6,2,1,76.0
Central Saanich,British Columbia,Entire home/apt,2,4,1,99.0
Juan de Fuca,British Columbia,Entire home/apt,2,6,2,168.0
Downtown,British Columbia,Entire home/apt,1,6,2,389.0
Juan de Fuca,British Columbia,Private room,1,5,1,119.0
Juan de Fuca,British Columbia,Entire home/apt,1,4,2,172.0
Juan de Fuca,British Columbia,Private room,1,7,1,119.0
Juan de Fuca,British Columbia,Private room,1,6,2,119.0
Sooke,British Columbia,Entire home/apt,2,3,1,50.0
Juan de Fuca,British Columbia,Private room,1,2,1,119.0
Sooke,British Columbia,Entire home/apt,2,5,2,150.0
Saanich,British Columbia,Entire home/apt,2,3,3,229.0
Downtown,British Columbia,Entire home/apt,2,2,1,249.0
Juan de Fuca,British Columbia,Private room,1,2,1,99.0
Juan de Fuca,British Columbia,Private room,1,2,1,119.0
Langford,British Columbia,Entire home/apt,1,4,2,99.0
Sooke,British Columbia,Entire home/apt,2,4,2,99.0
Saanich,British Columbia,Entire home/apt,7,6,3,200.0
Colwood,British Columbia,Entire home/apt,4,4,2,149.0
Sidney,British Columbia,Entire home/apt,2,4,2,81.0
Central Saanich,British Columbia,Entire home/apt,2,5,2,149.0
Downtown,British Columbia,Entire home/apt,3,4,1,219.0
Downtown,British Columbia,Entire home/apt,30,4,2,155.0
Sooke,British Columbia,Entire home/apt,2,4,1,88.0
Rockland,British Columbia,Entire home/apt,1,6,1,527.0
Rockland,British Columbia,Private room,1,2,1,355.0
Rockland,British Columbia,Private room,1,2,1,355.0
Rockland,British Columbia,Private room,1,2,1,289.0
Rockland,British Columbia,Private room,1,2,1,276.0
Rockland,British Columbia,Private room,1,2,1,314.0
Rockland,British Columbia,Private room,1,4,1,462.0
Saanich,British Columbia,Entire home/apt,1,6,3,179.0
Downtown,British Columbia,Entire home/apt,2,2,1,85.0
Central Saanich,British Columbia,Private room,2,2,1,110.0
Sooke,British Columbia,Private room,1,2,1,98.0
Oak Bay,British Columbia,Entire home/apt,2,3,1,65.0
Oak Bay,British Columbia,Entire home/apt,3,6,4,145.0
Downtown,British Columbia,Entire home/apt,30,2,1,90.0
Salt Spring Island,British Columbia,Entire home/apt,2,5,2,125.0
Hillside/Quadra,British Columbia,Entire home/apt,30,2,1,45.0
Rockland,British Columbia,Private room,2,2,1,175.0
James Bay,British Columbia,Entire home/apt,30,6,3,300.0
Southern Gulf Islands,British Columbia,Entire home/apt,2,2,1,111.0
Burnside,British Columbia,Private room,2,2,1,54.0
Salt Spring Island,British Columbia,Entire home/apt,2,2,1,81.0
South Jubilee,British Columbia,Entire home/apt,2,4,1,76.0
Esquimalt,British Columbia,Entire home/apt,2,5,4,168.0
Salt Spring Island,British Columbia,Entire home/apt,2,5,2,249.0
North Park,British Columbia,Entire home/apt,2,6,3,98.0
Downtown,British Columbia,Entire home/apt,3,2,1,76.0
Downtown,British Columbia,Private room,1,2,1,70.0
Downtown,British Columbia,Entire home/apt,1,4,1,119.0
Downtown,British Columbia,Entire home/apt,1,5,2,300.0
Saanich,British Columbia,Private room,1,1,1,90.0
Langford,British Columbia,Entire home/apt,2,6,3,180.0
Sooke,British Columbia,Private room,2,4,1,94.0
Fernwood,British Columbia,Entire home/apt,2,2,1,70.0
Fairfield,British Columbia,Entire home/apt,2,2,1,64.0
Salt Spring Island,British Columbia,Private room,2,4,2,125.0
Downtown,British Columbia,Entire home/apt,2,4,1,119.0
Saanich,British Columbia,Private room,1,3,2,85.0
Southern Gulf Islands,British Columbia,Entire home/apt,3,4,2,160.0
Fairfield,British Columbia,Private room,1,2,1,70.0
Langford,British Columbia,Entire home/apt,1,2,1,80.0
Fairfield,British Columbia,Entire home/apt,30,2,1,90.0
Fairfield,British Columbia,Entire home/apt,1,4,1,129.0
Juan de Fuca,British Columbia,Entire home/apt,2,6,2,235.0
Saanich,British Columbia,Entire home/apt,1,6,3,220.0
Langford,British Columbia,Entire home/apt,2,2,1,76.0
Sidney,British Columbia,Entire home/apt,2,4,2,97.0
Saanich,British Columbia,Entire home/apt,1,2,1,80.0
Saanich,British Columbia,Entire home/apt,2,3,1,109.0
Salt Spring Island,British Columbia,Entire home/apt,1,4,1,150.0
Langford,British Columbia,Entire home/apt,2,6,2,160.0
Sooke,British Columbia,Entire home/apt,1,2,1,109.0
Salt Spring Island,British Columbia,Entire home/apt,2,2,1,164.0
Esquimalt,British Columbia,Private room,3,4,2,99.0
Downtown,British Columbia,Entire home/apt,2,4,1,97.0
Victoria West,British Columbia,Private room,1,2,1,80.0
Langford,British Columbia,Entire home/apt,2,6,3,249.0
Downtown,British Columbia,Entire home/apt,1,2,1,90.0
Colwood,British Columbia,Entire home/apt,2,2,1,99.0
Esquimalt,British Columbia,Entire home/apt,2,2,1,95.0
Sooke,British Columbia,Private room,2,2,1,80.0
Downtown,British Columbia,Entire home/apt,1,2,1,110.0
Oak Bay,British Columbia,Entire home/apt,28,6,4,150.0
Langford,British Columbia,Private room,1,1,1,31.0
Saanich,British Columbia,Private room,2,2,1,80.0
Southern Gulf Islands,British Columbia,Entire home/apt,5,6,2,119.0
James Bay,British Columbia,Private room,7,1,1,31.0
Saanich,British Columbia,Entire home/apt,1,8,3,300.0
Saanich,British Columbia,Entire home/apt,2,6,3,379.0
Downtown,British Columbia,Entire home/apt,2,2,1,80.0
Fairfield,British Columbia,Entire home/apt,30,5,3,167.0
Colwood,British Columbia,Entire home/apt,4,2,1,76.0
Fairfield,British Columbia,Entire home/apt,1,4,2,200.0
Oak Bay,British Columbia,Entire home/apt,3,3,2,119.0
Hillside/Quadra,British Columbia,Private room,7,1,1,45.0
Sooke,British Columbia,Entire home/apt,7,2,2,76.0
Central Saanich,British Columbia,Entire home/apt,2,8,2,123.0
Victoria West,British Columbia,Entire home/apt,30,2,1,130.0
Juan de Fuca,British Columbia,Entire home/apt,2,4,2,195.0
Juan de Fuca,British Columbia,Entire home/apt,3,8,4,195.0
Hillside/Quadra,British Columbia,Entire home/apt,29,2,1,65.0
Downtown,British Columbia,Entire home/apt,1,2,1,119.0
Sidney,British Columbia,Entire home/apt,2,7,4,294.0
Oak Bay,British Columbia,Entire home/apt,2,2,1,129.0
Salt Spring Island,British Columbia,Entire home/apt,1,4,1,150.0
Saanich,British Columbia,Entire home/apt,1,2,1,110.0
Central Saanich,British Columbia,Entire home/apt,1,5,1,97.0
View Royal,British Columbia,Entire home/apt,2,2,1,130.0
Saanich,British Columbia,Entire home/apt,3,6,2,135.0
Downtown,British Columbia,Entire home/apt,2,6,2,350.0
North Saanich,British Columbia,Entire home/apt,3,2,1,80.0
Salt Spring Island,British Columbia,Private room,1,2,1,129.0
Juan de Fuca,British Columbia,Entire home/apt,2,5,2,125.0
View Royal,British Columbia,Entire home/apt,2,4,2,90.0
Langford,British Columbia,Entire home/apt,2,4,1,76.0
Salt Spring Island,British Columbia,Entire home/apt,2,4,1,125.0
Oak Bay,British Columbia,Entire home/apt,3,6,4,310.0
Colwood,British Columbia,Private room,1,4,2,50.0
North Saanich,British Columbia,Entire home/apt,2,4,1,125.0
Downtown,British Columbia,Entire home/apt,2,4,1,125.0
Saanich,British Columbia,Entire home/apt,2,4,1,105.0
View Royal,British Columbia,Private room,7,2,2,119.0
Juan de Fuca,British Columbia,Entire home/apt,3,6,3,499.0
Sidney,British Columbia,Entire home/apt,3,4,2,164.0
James Bay,British Columbia,Entire home/apt,7,3,1,93.0
Central Saanich,British Columbia,Entire home/apt,1,2,1,89.0
Langford,British Columbia,Entire home/apt,2,4,1,98.0
Juan de Fuca,British Columbia,Entire home/apt,2,4,2,249.0
Saanich,British Columbia,Private room,1,2,1,60.0
Salt Spring Island,British Columbia,Entire home/apt,1,7,3,277.0
Saanich,British Columbia,Private room,1,2,1,70.0
Saanich,British Columbia,Private room,1,3,1,65.0
Saanich,British Columbia,Entire home/apt,1,5,2,99.0
Saanich,British Columbia,Entire home/apt,2,2,1,110.0
Juan de Fuca,British Columbia,Entire home/apt,1,3,1,159.0
North Saanich,British Columbia,Entire home/apt,5,6,3,265.0
Saanich,British Columbia,Entire home/apt,2,4,1,105.0
Harris Green,British Columbia,Entire home/apt,1,4,2,210.0
Saanich,British Columbia,Entire home/apt,2,4,1,76.0
Saanich,British Columbia,Private room,1,2,1,54.0
Langford,British Columbia,Private room,1,2,1,76.0
Saanich,British Columbia,Entire home/apt,2,6,3,220.0
Downtown,British Columbia,Entire home/apt,1,4,1,210.0
Saanich,British Columbia,Entire home/apt,2,3,1,93.0
Downtown,British Columbia,Entire home/apt,2,2,1,150.0
Sooke,British Columbia,Entire home/apt,2,4,1,95.0
Southern Gulf Islands,British Columbia,Entire home/apt,1,4,1,99.0
North Saanich,British Columbia,Entire home/apt,2,2,1,85.0
Fairfield,British Columbia,Entire home/apt,1,2,1,125.0
Fairfield,British Columbia,Entire home/apt,14,4,2,117.0
North Jubilee,British Columbia,Entire home/apt,1,2,1,65.0
North Saanich,British Columbia,Entire home/apt,5,2,1,99.0
Salt Spring Island,British Columbia,Entire home/apt,1,2,1,105.0
James Bay,British Columbia,Entire home/apt,2,2,2,225.0
Fernwood,British Columbia,Entire home/apt,2,4,3,200.0
Oak Bay,British Columbia,Entire home/apt,30,6,3,215.0
Salt Spring Island,British Columbia,Entire home/apt,2,2,1,110.0
Harris Green,British Columbia,Entire home/apt,3,3,1,180.0
Saanich,British Columbia,Entire home/apt,2,4,2,86.0
Central Saanich,British Columbia,Entire home/apt,2,8,4,320.0
Fairfield,British Columbia,Private room,4,2,1,54.0
North Park,British Columbia,Entire home/apt,2,6,2,300.0
Saanich,British Columbia,Private room,1,2,1,70.0
Salt Spring Island,British Columbia,Private room,1,2,1,95.0
Saanich,British Columbia,Entire home/apt,2,3,1,105.0
Sooke,British Columbia,Entire home/apt,1,3,1,130.0
Langford,British Columbia,Private room,2,3,1,70.0
Saanich,British Columbia,Entire home/apt,1,2,1,90.0
Downtown,British Columbia,Entire home/apt,1,3,1,158.0
Saanich,British Columbia,Entire home/apt,1,3,1,69.0
Southern Gulf Islands,British Columbia,Entire home/apt,2,4,1,118.0
Juan de Fuca,British Columbia,Entire home/apt,1,6,3,495.0
Downtown,British Columbia,Entire home/apt,3,2,1,184.0
Colwood,British Columbia,Entire home/apt,3,6,2,199.0
Downtown,British Columbia,Entire home/apt,1,5,2,99.0
Sooke,British Columbia,Entire home/apt,2,4,2,119.0
Downtown,British Columbia,Entire home/apt,3,4,1,150.0
Downtown,British Columbia,Entire home/apt,29,4,1,111.0
Fairfield,British Columbia,Private room,2,2,1,85.0
Saanich,British Columbia,Entire home/apt,5,5,2,135.0
Southern Gulf Islands,British Columbia,Entire home/apt,2,4,2,294.0
View Royal,British Columbia,Entire home/apt,3,8,4,220.0
Saanich,British Columbia,Private room,1,5,3,119.0
Hillside/Quadra,British Columbia,Entire home/apt,2,4,1,99.0
Esquimalt,British Columbia,Private room,1,2,1,70.0
Oak Bay,British Columbia,Entire home/apt,1,2,1,98.0
James Bay,British Columbia,Entire home/apt,1,2,1,119.0
Downtown,British Columbia,Entire home/apt,1,6,2,129.0
Esquimalt,British Columbia,Entire home/apt,4,8,4,300.0
Metchosin,British Columbia,Entire home/apt,1,5,2,119.0
Saanich,British Columbia,Private room,1,2,1,50.0
Saanich,British Columbia,Private room,1,2,1,45.0
Saanich,British Columbia,Entire home/apt,4,5,2,184.0
View Royal,British Columbia,Entire home/apt,29,4,2,99.0
Downtown,British Columbia,Entire home/apt,2,4,1,134.0
Central Saanich,British Columbia,Entire home/apt,2,2,1,125.0
Juan de Fuca,British Columbia,Entire home/apt,1,4,2,107.0
Southern Gulf Islands,British Columbia,Entire home/apt,2,2,1,80.0
Southern Gulf Islands,British Columbia,Entire home/apt,2,3,1,98.0
Downtown,British Columbia,Entire home/apt,1,6,2,200.0
View Royal,British Columbia,Private room,4,2,1,50.0
Sooke,British Columbia,Entire home/apt,2,8,4,225.0
Langford,British Columbia,Entire home/apt,1,2,1,68.0
Langford,British Columbia,Entire home/apt,2,7,3,175.0
Saanich,British Columbia,Entire home/apt,1,6,3,72.0
Saanich,British Columbia,Entire home/apt,7,4,2,125.0
Sooke,British Columbia,Private room,1,2,1,70.0
Saanich,British Columbia,Entire home/apt,1,4,2,200.0
Sooke,British Columbia,Entire home/apt,2,5,2,225.0
Saanich,British Columbia,Entire home/apt,1,2,1,150.0
Saanich,British Columbia,Entire home/apt,1,2,1,150.0
Saanich,British Columbia,Entire home/apt,1,2,1,150.0
Esquimalt,British Columbia,Private room,1,2,1,54.0
Gonzales,British Columbia,Entire home/apt,30,6,3,150.0
Fairfield,British Columbia,Entire home/apt,7,5,3,401.0
Salt Spring Island,British Columbia,Private room,1,4,2,195.0
Saanich,British Columbia,Private room,1,2,1,88.0
Saanich,British Columbia,Private room,1,2,1,98.0
Saanich,British Columbia,Entire home/apt,2,2,1,130.0
Oak Bay,British Columbia,Entire home/apt,3,6,4,200.0
Saanich,British Columbia,Entire home/apt,1,2,1,42.0
Colwood,British Columbia,Entire home/apt,1,4,2,125.0
Sidney,British Columbia,Entire home/apt,2,4,2,115.0
Oak Bay,British Columbia,Entire home/apt,2,2,1,119.0
Juan de Fuca,British Columbia,Entire home/apt,2,5,2,249.0
Downtown,British Columbia,Entire home/apt,1,6,3,525.0
Gonzales,British Columbia,Entire home/apt,2,5,3,149.0
Langford,British Columbia,Entire home/apt,1,4,1,95.0
Colwood,British Columbia,Private room,2,1,1,50.0
Langford,British Columbia,Private room,1,2,1,42.0
Colwood,British Columbia,Private room,2,1,1,50.0
Juan de Fuca,British Columbia,Entire home/apt,2,7,2,150.0
Saanich,British Columbia,Entire home/apt,2,2,1,119.0
Salt Spring Island,British Columbia,Entire home/apt,2,2,1,90.0
Saanich,British Columbia,Entire home/apt,2,4,2,88.0
Salt Spring Island,British Columbia,Entire home/apt,2,4,2,180.0
Saanich,British Columbia,Private room,5,2,1,89.0
Langford,British Columbia,Entire home/apt,30,3,2,99.0
Victoria West,British Columbia,Entire home/apt,3,6,3,500.0
Saanich,British Columbia,Entire home/apt,1,2,1,149.0
Victoria West,British Columbia,Hotel room,7,4,2,150.0
Colwood,British Columbia,Private room,3,2,1,69.0
Saanich,British Columbia,Entire home/apt,6,4,3,109.0
Langford,British Columbia,Entire home/apt,3,2,1,70.0
Victoria West,British Columbia,Entire home/apt,2,2,1,99.0
Sidney,British Columbia,Private room,1,2,1,45.0
Juan de Fuca,British Columbia,Entire home/apt,2,6,3,249.0
Saanich,British Columbia,Entire home/apt,1,6,3,99.0
Langford,British Columbia,Entire home/apt,1,2,1,65.0
Fairfield,British Columbia,Private room,3,2,1,90.0
Juan de Fuca,British Columbia,Entire home/apt,3,4,2,336.0
Oak Bay,British Columbia,Entire home/apt,1,4,2,200.0
Saanich,British Columbia,Entire home/apt,1,7,2,188.0
Saanich,British Columbia,Private room,5,2,1,89.0
Sooke,British Columbia,Private room,2,4,1,99.0
Saanich,British Columbia,Private room,1,2,1,40.0
Southern Gulf Islands,British Columbia,Entire home/apt,4,7,3,175.0
Rockland,British Columbia,Private room,2,2,1,199.0
Langford,British Columbia,Shared room,1,2,1,28.0
Highlands,British Columbia,Entire home/apt,1,5,3,135.0
Langford,British Columbia,Shared room,1,2,1,28.0
Saanich,British Columbia,Entire home/apt,2,4,2,82.0
Sooke,British Columbia,Entire home/apt,2,2,1,80.0
Southern Gulf Islands,British Columbia,Entire home/apt,3,4,2,199.0
James Bay,British Columbia,Private room,1,2,1,76.0
Saanich,British Columbia,Entire home/apt,1,4,1,97.0
Oak Bay,British Columbia,Private room,1,2,1,60.0
Juan de Fuca,British Columbia,Entire home/apt,1,4,2,275.0
Downtown,British Columbia,Entire home/apt,7,2,1,99.0
James Bay,British Columbia,Entire home/apt,30,6,3,301.0
Juan de Fuca,British Columbia,Entire home/apt,1,2,1,155.0
Saanich,British Columbia,Entire home/apt,3,6,3,225.0
Downtown,British Columbia,Entire home/apt,2,4,2,180.0
Saanich,British Columbia,Private room,2,2,1,70.0
Colwood,British Columbia,Entire home/apt,1,8,3,150.0
Saanich,British Columbia,Private room,3,3,1,80.0
Saanich,British Columbia,Shared room,1,4,1,190.0
Fairfield,British Columbia,Entire home/apt,30,2,1,99.0
View Royal,British Columbia,Entire home/apt,2,2,1,89.0
Saanich,British Columbia,Entire home/apt,2,3,1,58.0
Juan de Fuca,British Columbia,Entire home/apt,2,8,3,350.0
Juan de Fuca,British Columbia,Entire home/apt,2,6,2,99.0
North Park,British Columbia,Entire home/apt,2,2,1,89.0
Esquimalt,British Columbia,Entire home/apt,7,3,1,119.0
Sooke,British Columbia,Entire home/apt,1,2,1,99.0
Saanich,British Columbia,Entire home/apt,2,2,1,106.0
Central Saanich,British Columbia,Entire home/apt,1,6,1,109.0
Salt Spring Island,British Columbia,Entire home/apt,2,2,1,145.0
Metchosin,British Columbia,Entire home/apt,2,5,3,90.0
Highlands,British Columbia,Entire home/apt,1,4,2,135.0
Juan de Fuca,British Columbia,Entire home/apt,30,2,1,99.0
Highlands,British Columbia,Entire home/apt,1,2,1,135.0
Saanich,British Columbia,Private room,1,1,2,225.0
Juan de Fuca,British Columbia,Entire home/apt,1,4,1,98.0
Langford,British Columbia,Entire home/apt,2,4,2,99.0
Saanich,British Columbia,Entire home/apt,1,7,3,298.0
Oaklands,British Columbia,Entire home/apt,5,5,3,240.0
Salt Spring Island,British Columbia,Private room,2,2,1,50.0
Colwood,British Columbia,Entire home/apt,2,2,1,92.0
Saanich,British Columbia,Private room,1,2,1,50.0
Victoria West,British Columbia,Entire home/apt,2,4,2,355.0
Downtown,British Columbia,Entire home/apt,1,4,1,99.0
North Jubilee,British Columbia,Entire home/apt,1,6,2,138.0
Saanich,British Columbia,Entire home/apt,3,6,3,500.0
Langford,British Columbia,Entire home/apt,2,6,3,275.0
Saanich,British Columbia,Entire home/apt,2,2,1,109.0
View Royal,British Columbia,Entire home/apt,3,4,1,85.0
Saanich,British Columbia,Private room,1,2,1,50.0
Salt Spring Island,British Columbia,Entire home/apt,2,4,2,150.0
Salt Spring Island,British Columbia,Entire home/apt,2,4,1,150.0
Salt Spring Island,British Columbia,Private room,2,6,3,390.0
Downtown,British Columbia,Entire home/apt,2,2,1,160.0
James Bay,British Columbia,Hotel room,1,6,2,332.0
Saanich,British Columbia,Private room,1,1,1,49.0
Saanich,British Columbia,Private room,1,1,1,49.0
Downtown,British Columbia,Entire home/apt,3,4,1,180.0
