neighbourhood,province,room_type,minimum_nights,accommodates,bedrooms,price
Sussex,New Brunswick,Private room,1,2,1,115.0
Shediac,New Brunswick,Entire home/apt,7,4,1,150.0
Dundas,New Brunswick,Entire home/apt,1,7,3,164.0
Saint Andrews,New Brunswick,Entire home/apt,2,6,2,180.0
City of Saint John,New Brunswick,Private room,1,2,1,119.0
Pennfield,New Brunswick,Entire home/apt,4,8,4,135.0
Fredericton,New Brunswick,Private room,1,2,1,76.0
Pennfield,New Brunswick,Entire home/apt,3,6,2,150.0
Harvey,New Brunswick,Entire home/apt,2,2,1,115.0
Caraquet,New Brunswick,Private room,1,2,1,69.0
City of Saint John,New Brunswick,Entire home/apt,4,5,1,130.0
Hardwicke,New Brunswick,Entire home/apt,2,6,3,249.0
Moncton,New Brunswick,Entire home/apt,1,8,4,95.0
Shediac,New Brunswick,Entire home/apt,7,4,2,125.0
Saint Croix,New Brunswick,Entire home/apt,2,4,2,150.0
Saint Stephen,New Brunswick,Private room,1,2,1,134.0
Canning,New Brunswick,Entire home/apt,2,5,2,160.0
Moncton,New Brunswick,Entire home/apt,1,4,1,80.0
Harvey,New Brunswick,Entire home/apt,1,2,1,58.0
Saint George,New Brunswick,Entire home/apt,3,7,3,265.0
Blissville,New Brunswick,Entire home/apt,1,4,1,34.0
City of Saint John,New Brunswick,Private room,1,2,1,60.0
Rothesay,New Brunswick,Private room,1,8,3,80.0
Colborne,New Brunswick,Private room,1,2,1,50.0
Saint Marys,New Brunswick,Private room,1,2,1,50.0
Moncton,New Brunswick,Entire home/apt,3,7,4,119.0
Nelson,New Brunswick,Entire home/apt,3,6,3,190.0
Shediac,New Brunswick,Entire home/apt,4,6,3,175.0
Fredericton,New Brunswick,Private room,1,2,1,61.0
Botsford,New Brunswick,Entire home/apt,7,5,3,159.0
Paquetville,New Brunswick,Entire home/apt,1,2,1,68.0
City of Saint John,New Brunswick,Private room,1,4,1,58.0
West Isles,New Brunswick,Entire home/apt,3,8,4,130.0
Manners Sutton,New Brunswick,Entire home/apt,1,8,4,119.0
Moncton,New Brunswick,Entire home/apt,1,4,1,125.0
Saint Martins,New Brunswick,Private room,1,2,1,99.0
Caraquet,New Brunswick,Entire home/apt,7,5,2,115.0
Shediac,New Brunswick,Entire home/apt,7,5,2,119.0
Sackville,New Brunswick,Private room,1,2,1,80.0
Cambridge,New Brunswick,Private room,1,2,1,102.0
Shediac,New Brunswick,Private room,1,3,1,76.0
Shediac,New Brunswick,Entire home/apt,2,4,3,215.0
Shediac,New Brunswick,Entire home/apt,3,4,2,160.0
Canning,New Brunswick,Entire home/apt,2,6,2,145.0
Bathurst,New Brunswick,Private room,1,2,1,99.0
Bathurst,New Brunswick,Private room,1,2,1,57.0
Bathurst,New Brunswick,Private room,1,2,1,76.0
Alnwick,New Brunswick,Entire home/apt,1,3,2,80.0
Moncton,New Brunswick,Entire home/apt,1,3,1,76.0
Shediac,New Brunswick,Entire home/apt,4,5,2,180.0
Botsford,New Brunswick,Entire home/apt,2,8,3,249.0
City of Saint John,New Brunswick,Entire home/apt,3,2,1,72.0
Rothesay,New Brunswick,Private room,1,2,1,99.0
Moncton,New Brunswick,Private room,1,2,1,70.0
City of Saint John,New Brunswick,Entire home/apt,2,2,1,77.0
Rothesay,New Brunswick,Private room,1,2,1,80.0
Shediac,New Brunswick,Entire home/apt,1,8,4,125.0
Dorchester,New Brunswick,Private room,1,6,3,40.0
Moncton,New Brunswick,Private room,1,4,2,48.0
Colborne,New Brunswick,Entire home/apt,1,2,1,70.0
